exchange_id,tag,country_id,country
37,argentina,29,argentina
18,australia,25,australia
17,austria,54,austria
39,bahrain,145,bahrain
115,bangladesh,47,bangladesh
14,belgium,34,belgium
77,botswana,163,botswana
47,brazil,32,brazil
44,bulgaria,70,bulgaria
51,canada,6,canada
42,chile,27,chile
54,china,37,china
55,colombia,122,colombia
45,croatia,113,croatia
78,cyprus,107,cyprus
56,czech-republic,55,czech republic
15,denmark,24,denmark
33,egypt,59,egypt
16,finland,71,finland
9,france,22,france
4,germany,17,germany
41,greece,51,greece
21,hong-kong,39,hong kong
23,hungary,93,hungary
52,iceland,106,iceland
46,india,14,india
57,indonesia,48,indonesia
58,ireland,33,ireland
26,israel,23,israel
6,italy,10,italy
20,japan,35,japan
29,jordan,92,jordan
59,kenya,57,kenya
80,latvia,97,latvia
81,lithuania,96,lithuania
61,luxembourg,103,luxembourg
62,malaysia,42,malaysia
82,malta,109,malta
86,mauritius,188,mauritius
53,mexico,7,mexico
36,morocco,105,morocco
75,namibia,172,namibia
7,netherlands,21,netherlands
83,new-zealand,43,new zealand
96,nigeria,20,nigeria
8,norway,60,norway
63,pakistan,44,pakistan
64,peru,125,peru
65,philippines,45,philippines
25,poland,53,poland
10,portugal,38,portugal
35,qatar,170,qatar
43,romania,100,romania
40,russia,56,russia
28,saudi-arabia,52,saudi arabia
102,serbia,238,serbia
19,singapore,36,singapore
84,slovakia,90,slovakia
66,slovenia,112,slovenia
22,south-africa,110,south africa
60,south-korea,11,south korea
11,spain,26,spain
67,sri-lanka,162,sri lanka
12,sweden,9,sweden
5,switzerland,12,switzerland
68,taiwan,46,taiwan
69,thailand,41,thailand
49,turkey,63,turkey
76,uganda,123,uganda
70,ukraine,61,ukraine
3,uk,4,united kingdom
1,usa,5,united states
71,venezuela,138,venezuela
72,vietnam,178,vietnam
