country,country_name
argentina,argentina
australia,australia
austria,austria
bahrain,bahrain
bangladesh,bangladesh
belgium,belgium
bosnia,bosnia-herzegovina
botswana,botswana
brazil,brazil
bulgaria,bulgaria
canada,canada
chile,chile
china,china
colombia,colombia
costa rica,costa rica
ivory coast,cote d'ivoire
croatia,croatia
cyprus,cyprus
czech republic,czech republic
denmark,denmark
ecuador,ecuador
egypt,egypt
estonia,estonia
finland,finland
france,france
germany,germany
greece,greece
hong kong,hong kong
hungary,hungary
iceland,iceland
india,india
indonesia,indonesia
iraq,iraq
ireland,ireland
israeli,israel
italy,italy
jamaica,jamaica
japan,japan
jordan,jordan
kazakhstan,kazakhstan
kenya,kenya
kuwaiti,kuwait
latvia,latvia
lebanon,lebanon
lithuania,lithuania
luxembourg,luxembourg
malawi,malawi
malaysia,malaysia
malta,malta
mauritius,mauritius
mexico,mexico
mongolia,mongolia
montenegro,montenegro
morocco,morocco
namibia,namibia
netherlands,netherlands
new zealand,new zealand
nigeria,nigeria
norway,norway
oman,oman
pakistan,pakistan
palestine,palestinian territory
peru,peru
philippines,philippines
poland,poland
portugal,portugal
qatar,qatar
romania,romania
russia,russia
rwanda,rwanda
saudi arabia,saudi arabia
serbia,serbia
singapore,singapore
slovakia,slovakia
slovenia,slovenia
south africa,south africa
south korea,south korea
spain,spain
sri lanka,sri lanka
sweden,sweden
switzerland,switzerland
taiwan,taiwan
tanzania,tanzania
thailand,thailand
tunisia,tunisia
turkey,turkey
uganda,uganda
ukraine,ukraine
dubai,united arab emirates
uk,united kingdom
usa,united states
venezuela,venezuela
vietnam,vietnam
zambia,zambia
zimbabwe,zimbabwe
