country,id
argentina,10141
brazil,602
canada,608
chile,10150
colombia,723
costa rica,688
jamaica,10210
mexico,612
peru,722
united states,800
venezuela,25920001
austria,10124
belgium,10121
bosnia,804
bulgaria,10151
croatia,10148
cyprus,725
czech republic,614
denmark,10122
finland,10123
france,10112
germany,10106
greece,10145
hungary,10128
iceland,610
ireland,616
italy,10109
luxembourg,802
malta,803
montenegro,10213
netherlands,10110
norway,10111
poland,10130
portugal,10113
romania,10149
russia,10144
serbia,805
slovakia,625
slovenia,620
spain,10119
sweden,10120
switzerland,10107
turkey,606
ukraine,623
united kingdom,801
australia,10125
bangladesh,10201
china,724
hong kong,10126
india,600
indonesia,615
japan,692
kazakhstan,10207
malaysia,618
mongolia,10216
new zealand,27525828
pakistan,619
philippines,721
singapore,10129
south korea,694
sri lanka,621
taiwan,622
thailand,720
vietnam,624
bahrain,10143
egypt,10136
iraq,10204
israel,10131
jordan,10134
kuwait,10132
lebanon,10146
oman,10142
palestine,10137
qatar,10139
saudi arabia,10133
dubai,10135
botswana,656
ivory coast,729
kenya,617
malawi,680
mauritius,678
morocco,10147
namibia,652
nigeria,628
rwanda,686
south africa,10127
tanzania,682
tunisia,604
uganda,654
zambia,25957877
zimbabwe,684
